Time (min),Inter-event Time (log10[min]),Magnitude (M),Instantaneous Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Sequential Volume Change (-),Time Since Injection Sign Change (log10[min]),Cumulative Volume (log10[m3]),Cumulative Moment (M),Pressure (log10[MPa]),Instantaneous Pressure Rate (log10[MPa/min]),Sequential Pressure Change (log10[MPa]),Sign of Pressure Change (-),Cumulative Hydraulic Moment (M),Sequential Hydraulic Moment Change (M),Smoothed Causal Seismicity Rate log10[1/min]
1004.72169931055,3.00204578196399,0.947835154206438,0.196997628602237,2.5179927306273,1,-Inf,2.5179927306273,0.947835154206437,1.55008447994259,-0.71762328058231,0.0402826817535412,1,3.72955392711002,3.72955392711002,-1.3002045781964
1007.56860300088,0.454372775377638,0.915536009351362,0.196997628602237,0.651370403977812,1,-Inf,2.52385716952446,1.13282241284699,1.54949108748188,0.282658785589778,-1.31465446967049,-1,3.73357130416793,2.49306463351276,-0.345641855734162
1022.43188040916,1.17211458354236,0.946543832229364,0.196997628602237,1.3691122121426,1,-Inf,2.55325122014336,1.25509938157197,1.55004672109938,0.529752086903963,-1.34322686341158,1,3.75367996590933,2.97147723548621,-0.462853314088398
1023.96256566117,0.184885897841339,0.902677061850418,0.196997628602237,0.381883526441579,1,-Inf,2.55616835986751,1.33018077407743,1.55067212440141,-1.06910539259373,-1.29126468109948,1,3.7556738360121,2.3133466791555,-0.481341903872532
1024.40549577241,-0.353664794540208,0.925593981719502,0.196997628602237,-0.15666716594027,1,-Inf,2.55700884198316,1.39414760340012,1.55024142186133,-0.351638308754031,-1.45315008733132,-1,3.75624805222298,1.95421592276548,-0.445975424418511
1026.80653300881,0.380398895349436,1.13547713935448,0.196997628602237,0.577396523949737,1,-Inf,2.56153683791767,1.49347405297144,1.54962505097281,0.221631977277259,-1.29800891983017,-1,3.75934308569076,2.44377847907081,-0.484015313953455
1027.86186961843,0.023391004073157,0.915045698062345,0.196997628602237,0.220388632673517,1,-Inf,2.56351220606996,1.53029875998675,1.55015242157829,-0.358363947649766,-1.36577962886472,1,3.76069382460851,2.20593762489903,-0.48635441436077
1030.67131046195,0.448619891884509,1.24355027326658,0.196997628602237,0.645617520484747,1,-Inf,2.56872750691457,1.6217479095809,1.54997833978224,-0.0167578105166538,-1.84696556894093,-1,3.76425864963488,2.48937484316364,-0.531216403549221
1030.86335922728,-0.716588480541703,1.18782061750813,0.196997628602237,-0.519590851942457,1,-Inf,2.56908173975698,1.68013004592133,1.55011589505063,0.0148345750964239,-1.94925996346919,1,3.76450075545142,1.71258782507967,-0.459557555495051
1031.61228791722,-0.125559532154654,0.9127334738687,0.196997628602237,0.0714380964455922,1,-Inf,2.57046038067812,1.69988595476715,1.55005920994337,-0.159717907752143,-2.33422778577231,-1,3.76544314809947,2.10666463766386,-0.447001602279586
