Time (min),Inter-event Time (log10[min]),Magnitude (M),Instantaneous Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Sequential Volume Change (-),Time Since Injection Sign Change (log10[min]),Cumulative Volume (log10[m3]),Cumulative Moment (M),Pressure (log10[MPa]),Instantaneous Pressure Rate (log10[MPa/min]),Sequential Pressure Change (log10[MPa]),Sign of Pressure Change (-),Cumulative Hydraulic Moment (M),Sequential Hydraulic Moment Change (M),Smoothed Causal Seismicity Rate log10[1/min]
1943.72666666667,3.28863519294391,-0.160986388503661,0.430746025621825,3.57480537491012,1,-Inf,3.57480537491012,-0.160986388503661,1.2290695470217,-3.47615086224032,1.2289031589525,1,4.17912045635961,4.17912045635961,-1.32886351929439
2076.2775,2.12238246244203,1.01271432697648,0.431334317291782,2.55377223175287,1,-Inf,3.61432749719796,1.01769628600917,1.23255765658987,-2.61280959382477,-0.864379423696826,1,4.21021494615647,3.54880041993733,-0.541101765538594
2147.2175,1.85089118413592,1.13466842763891,0.432292135052244,2.28067326549579,1,-Inf,3.63401759330154,1.28273648030711,1.23471234034785,-2.59984923270276,-1.07076532945289,1,4.22560978592716,3.36840121969441,-0.726190883952187
2192.87083333333,1.65947249261341,0.343464514405503,0.398327675955453,2.08610687128939,1,-Inf,3.64614576650593,1.29381419879616,1.23161406530481,-1.93127956594644,-0.913500218766533,-1,4.23507025213844,3.23983255685996,-0.892138133213528
2223.2,1.48186047766838,-0.0734033077707536,0.398581947126752,1.88192061838824,1,-Inf,3.65355628567354,1.29637834193788,1.23133911458012,-2.68566593117851,-1.96705284541867,-1,4.24077854712795,3.10113799289792,-1.04032418098037
2280.11,1.75518858560833,0.134403276666648,0.428972298166106,2.17117634212279,1,-Inf,3.66762807981212,1.30156437313778,1.23736832041383,-2.65056287228831,-0.623166995536582,1,4.25165310644698,3.29604525458355,-1.2158430395412
2282.34666666667,0.349601265449332,-0.185989148860726,0.429155288644759,0.778950676403568,1,-Inf,3.66818890365091,1.30325906650329,1.23750041064254,-2.63545331096811,-2.27947925194063,1,4.25208836799181,2.36990892906809,-1.25080316608613
2289.34833333333,0.845201431154341,0.15864836441653,0.428348656075042,1.27382700189244,1,-Inf,3.66993693051606,1.30876261501956,1.23778706582719,-3.17370337864595,-1.94278076405474,1,4.25344477005094,2.69989709256382,-1.33532330920157
2295.035,0.754857772111829,0.140635163148187,0.427829383877341,1.1827193363054,1,-Inf,3.67134901435902,1.31384055835976,1.23779039626601,-2.9354365360705,-3.87749411924989,1,4.2545399528859,2.63918825150865,-1.41080908641275
2304.75,0.987442804935808,0.0549085151703995,0.428278626697164,1.41571470860281,1,-Inf,3.67375308605405,1.31756020994559,1.23826290829511,-2.84523981773955,-1.72534476844595,1,4.25640479831991,2.79477273560673,-1.50955336690633
2334.55083333333,1.47422840860673,0.128514758925404,0.428150753068195,1.9025321674121,1,-Inf,3.6810461789127,1.32228709335041,1.23860170749267,-2.93926131089172,-1.86940961935156,1,4.26205686104407,3.11957804075373,-1.32811268847261
2356.6425,1.34422848168547,0.101172856852927,0.42792920601589,1.77245820240516,1,-Inf,3.68637375698393,1.32652197874682,1.23863456146426,-2.86060387139145,-2.88257829952422,1,4.26617729334121,3.03295267410935,-1.25029729039696
2389.75333333333,1.51997011121157,-0.0860307510412429,0.427893861925024,1.94800702883668,1,-Inf,3.69423481722259,1.32871588209552,1.24021684614503,-2.54490744338503,-1.19907374390735,1,4.27225277714137,3.15047889050935,-1.21720518310452
2389.89916666667,-0.836143197362233,-0.125611748646301,0.427912137958635,-0.408080111098086,1,-Inf,3.69426912971191,1.33061597901597,1.24022472911926,-2.53218048557956,-3.50087341679372,1,4.27227930950157,1.58032126501537,-0.967643614106955
2419.85166666667,1.47643307683861,1.02100174733702,0.427923649308755,1.90431123114159,1,-Inf,3.70125672798996,1.41604844535903,1.24161352371768,-2.34658868280889,-1.2542269811454,1,4.27768731954247,3.12255048145106,-0.967100874023978
2424.845,0.698390558643786,-0.113578099034402,0.428395552175945,1.12678879293718,1,-Inf,3.70241214442274,1.41751451034946,1.24255685437279,-2.07073690689299,-1.42103508908966,1,4.27858293140517,2.60508643096714,-0.861421071327523
2436.8,1.07754958045181,-0.125031239460123,0.427048665151604,1.50544287348413,1,-Inf,3.70516281750748,1.41891675025776,1.24319907160685,-2.92980076859015,-1.58722435294973,1,4.28071661750366,2.85794207992029,-0.934215902827771
2459.515,1.35631274115064,0.00529804819795264,0.438053683090874,1.79135150354488,1,-Inf,3.71042708808331,1.42110262143911,1.24536409140618,-3.05767009643739,-1.05804040771318,1,4.28480597934904,3.04940536394897,-0.985327033827401
2483.63583333333,1.3823923078552,-0.193509105131392,0.423950769149835,1.81578374378497,1,-Inf,3.71592740742448,1.42219646401164,1.24393777372107,-1.86711424075922,-1.23891691643839,-1,4.28907490171242,3.06602653269253,-1.04808048740174
2543.37166666667,1.77623492661344,-0.170693281180769,0.39209142409046,2.15737813573428,1,-Inf,3.72776605976451,1.4233753558623,1.23697232703922,-2.98691297344566,-0.554375633921234,-1,4.29803350182137,3.28726381743861,-1.1269596995695
2544.2825,-0.0405610840979105,0.374697887304685,0.39076509591494,0.344532410259849,1,-Inf,3.72794572366616,1.43101259395297,1.23690643700426,-3.2548153583248,-2.58202519089403,-1,4.29816963754243,2.07962093482929,-0.975480750299038
2547.39833333333,0.493574219106651,0.834471346061958,0.386197037395219,0.87866771346449,1,-Inf,3.72855976731409,1.46573268975703,1.23668096079757,-2.40773963831756,-2.04788988769011,-1,4.29863485536181,2.43571113696564,-0.890415324041156
2572.50333333333,1.39976022571037,0.73139381020578,0.426752841396139,1.8204949732212,1,-Inf,3.73389372796154,1.4877892263156,1.24419421341845,-2.22370805710432,-0.52151331690403,1,4.30272425712952,3.06732644832955,-0.878394335491036
2576.10416666667,0.55640302026356,-0.173844262164587,0.426402114681631,0.982695605749665,1,-Inf,3.73466321514154,1.4887193592731,1.24471586044847,-2.23811320933681,-1.67595250917609,1,4.30331717997044,2.51055752152008,-1.01764895725361
2597.615,1.33265723535529,-0.152060142064438,0.426456415550512,1.75899979367553,1,-Inf,3.73923235358929,1.48971883896631,1.24709096711272,-2.95647161680671,-1.01619723806731,1,4.30684669276685,3.02909820150253,-1.00327137310528
2597.69833333333,-1.07918124604683,0.0180381233071947,0.426456080295856,-0.652729617719231,1,-Inf,3.73924996578626,1.49150873935307,1.24709441955549,-2.9708371096098,-3.85256512962669,1,4.30686031021121,1.42178853947274,-0.825514192636221
2599.10333333333,0.147676324241161,-0.0858669951684422,0.426445803211006,0.57410694911599,1,-Inf,3.73954678559183,1.4927523842236,1.24713658505588,-3.33436659617594,-2.76571155016928,1,4.30708978584926,2.23967074482938,-0.732526867015156
2638.30833333333,1.59334145819226,0.329553739590754,0.426218379832578,2.01963055955467,1,-Inf,3.7477458089573,1.49791673891181,1.24710813047753,-5.31789224486699,-2.9365097989126,-1,4.31341632624489,3.20324097153831,-0.756229738719318
2640.98416666667,0.427459059518861,0.208450531741398,0.426290634534172,0.853814221563221,1,-Inf,3.74829989301214,1.50126623287334,1.24703168055753,-2.71719469184519,-2.50733736996421,-1,4.31384317494483,2.42601705067153,-0.660736413885684
2647.13583333333,0.788992794812012,0.386984766499231,0.426316083764616,1.21533073261064,1,-Inf,3.74957099221477,1.5073712104619,1.24695189445501,-2.71500147057208,-2.48886527248999,-1,4.31482204495309,2.66702072787956,-0.562012200705541
2653.64583333333,0.813580988568206,1.037633171426,0.426451843306082,1.2399793716465,1,-Inf,3.75091227970595,1.55953574610586,1.2471088410103,-2.15126798159318,-2.19500215309757,1,4.31585489191067,2.68356723683373,-0.647426407972152
2662.79916666667,0.961579278181067,0.406433653095696,0.393585228467421,1.36067584251637,1,-Inf,3.75267695675263,1.56488168864642,1.24305652431302,-1.85683283786451,-0.784996674102321,-1,4.31720312561286,2.7619106882742,-0.694226913879594
2665.06083333333,0.354428597276113,-0.0957174336902365,0.389840406275108,0.744267860108728,1,-Inf,3.75310271426383,1.56581514515515,1.24230854600859,-2.09936715707047,-1.52121272139581,-1,4.31752706601723,2.34987982273724,-0.589693751036169
2667.54916666667,0.395908557341364,0.382180672280647,0.389834661574114,0.785738190410556,1,-Inf,3.75357064955322,1.57063046179358,1.24216364841926,-2.69246217112299,-2.2344870519218,-1,4.3178828469929,2.37736475439592,-0.573644304743949
2674.71333333333,0.855165680690618,0.0161662997725752,0.390152869459384,1.24522390349829,1,-Inf,3.75491578130952,1.57197628202619,1.24229845685575,-2.68601822818536,-2.26583618515302,1,4.31890571441351,2.6838119605089,-0.525895149277482
2677.74833333333,0.482158695411321,0.457736835362881,0.389810635464057,0.871736708447699,1,-Inf,3.75548374585367,1.57808213642224,1.24245008034039,-2.73696263392593,-2.21464356703961,1,4.31933779818122,2.43503838251655,-0.682029143423298
2683.93333333333,0.791339703965136,-0.114925577345222,0.389103256285576,1.18052606339716,1,-Inf,3.75663786180371,1.57891688419766,1.24254623953977,-1.76861328824353,-2.412295311748,1,4.32021555455264,2.64089741280643,-0.746395481395695
2692.9525,0.955166412399214,0.449331941193795,0.387456203360958,1.3293921577294,1,-Inf,3.75825865631733,1.58471067814931,1.23986645194086,-1.24982667362611,-0.968476903553619,-1,4.32143766281858,2.73777124315086,-0.682577976816391
2693.60416666667,-0.185974492987793,0.000289681124234165,0.396211895417855,0.229139900710156,1,-Inf,3.75838706705734,1.58592448862358,1.24082889572915,-1.28510201148624,-1.414061174724,1,4.32153535094232,2.0069189856508,-0.621234621565726
2697.1625,0.551246628977406,0.177742337345594,0.41873752356373,0.971510081558161,1,-Inf,3.75909591462557,1.58815163312706,1.24427260616824,-1.55433954242485,-0.858205795469834,1,4.32207686029796,2.50308142253557,-0.597460004982265
2697.39833333333,-0.627394810522787,-0.0747346348941895,0.419141400241704,-0.203615115877909,1,-Inf,3.75914323515777,1.58907775655905,1.24441864163026,-1.57979078062492,-2.22898035637191,1,4.32211311043226,1.72050603064851,-0.453362425073166
2699.83583333333,0.386944624370574,0.708335355201028,0.423293888271885,0.810724319014928,1,-Inf,3.7596320236561,1.60258022720202,1.24592514905612,-1.75113112022273,-1.21464092147893,1,4.32248751490978,2.39673232057706,-0.395898959692117
2702.39166666667,0.407532529934862,0.719203470872186,0.423574183794574,0.830904789882579,1,-Inf,3.76014347147223,1.61596318286269,1.24658176194704,-2.02498629027494,-1.57422140969281,1,4.32288006636363,2.41081950475055,-0.401209352957992
2714.94083333333,1.09861488724459,1.28879884167535,0.422985181097046,1.52168226748673,1,-Inf,3.76264423212212,1.69701137463491,1.24770236388741,-2.49933328157186,-1.34119075777098,1,4.32479965159293,2.87151662076309,-0.471479985948314
2719.545,0.663151036309509,0.165910678694379,0.423218327527428,1.0863928977444,1,-Inf,3.7635585048397,1.69847001279259,1.24767175329558,-3.0478624641917,-2.90422552623711,-1,4.32550158357337,2.58155200671202,-0.452278521510203
2728.3375,0.944112376988981,-0.100925067656955,0.42300064154184,1.36710468445319,1,-Inf,3.76529814881981,1.69904833067426,1.24797657709793,-2.55557537226261,-1.90591126105993,1,4.32683766601132,2.76893001717912,-0.498473889667969
2732.21666666667,0.58873843926973,1.22220750751118,0.423144909220132,1.01190379439584,1,-Inf,3.76606375793616,1.75005374844088,1.24788133568789,-3.03526396919245,-2.41102953757476,-1,4.32742525685862,2.53205282450341,-0.478213763198429
2737.45083333333,0.718847547356445,-0.135980457378524,0.423008815594591,1.14186499945019,1,-Inf,3.76709431056294,1.75048261289864,1.24833153900492,-2.21665412351989,-1.73626916401169,1,4.32821670037049,2.61897231603762,-0.454581876694152
2738.86083333333,0.149219112655335,0.29127259135082,0.422805917100072,0.571767496097459,1,-Inf,3.76737120806679,1.7523510390906,1.24856415132455,-2.9471196460386,-2.02270374882242,1,4.32842956674652,2.23926581626398,-0.488101237258465
