Time (min),Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Injection Rate (-),Time Since Injection Sign Change (log10[min])
0.0150903614362081,-Inf,-Inf,0,-Inf
1.74427836345037,-0.672107630762317,-0.434265417246251,1,-Inf
3.47346636544863,-1.90211522711776,-1.6642730136017,1,-Inf
5.20265436746279,-Inf,-Inf,0,0.237842213516066
6.93184236946106,-Inf,-Inf,0,0.538872209178052
8.66103037147522,-Inf,-Inf,0,0.714963468234398
10.3902183734894,-Inf,-Inf,0,0.839902204843031
12.1194063754876,-1.62277359302739,-1.38493137951132,1,-Inf
13.8485943775018,-Inf,-Inf,0,0.237842213516066
15.5777823795001,-Inf,-Inf,0,0.538872209178051
17.3069703815142,-Inf,-Inf,0,0.714963468234398
19.0361583835284,-Inf,-Inf,0,0.839902204843031
20.7653463855267,-Inf,-Inf,0,0.936812217850488
22.4945343875408,-Inf,-Inf,0,1.01599346389838
24.223722389555,-Inf,-Inf,0,1.08294025352918
25.9529103915532,-Inf,-Inf,0,1.14093220050651
27.6820983935674,-Inf,-Inf,0,1.19208472295406
29.4112863955657,-Inf,-Inf,0,1.23784221351447
31.1404743975798,-Inf,-Inf,0,1.27923489867284
32.869662399594,-Inf,-Inf,0,1.31702345956236
34.5988504015923,-Inf,-Inf,0,1.35178556582137
36.3280384036064,-Inf,-Inf,0,1.38397024919288
38.0572264056047,-Inf,-Inf,0,1.41393347257015
39.7864144076188,-Inf,-Inf,0,1.44196219617049
41.515602409633,-Inf,-Inf,0,1.46829113489293
43.2447904116313,-Inf,-Inf,0,1.49311471861782
44.9739784136454,-Inf,-Inf,0,1.51659581446742
46.7031664156596,-1.21080780848713,-0.972965594971062,1,-Inf
48.4323544176579,-0.469599371775077,-0.231757158259011,1,-Inf
50.161542419672,-0.468521082957745,-0.230678869441678,1,-Inf
51.8907304216703,-0.468521082957745,-0.230678869441679,1,-Inf
53.6199184236844,-0.468521082957745,-0.230678869441678,1,-Inf
55.3491064256986,-0.468521082957745,-0.230678869441679,1,-Inf
57.0782944276969,-0.468521082957745,-0.230678869441679,1,-Inf
58.807482429711,-0.468521082957745,-0.230678869441679,1,-Inf
60.5366704317093,-0.468521082957745,-0.230678869441678,1,-Inf
62.2658584337235,-0.468521082957745,-0.230678869441679,1,-Inf
63.9950464357376,-0.468521082957745,-0.230678869441678,1,-Inf
65.7242344377359,-0.468521082957745,-0.230678869441678,1,-Inf
67.45342243975,-0.468521082957745,-0.230678869441679,1,-Inf
69.1826104417642,-0.468521082957745,-0.230678869441679,1,-Inf
70.9117984437625,-0.468521082957745,-0.230678869441678,1,-Inf
72.6409864457766,-0.468521082957745,-0.230678869441679,1,-Inf
74.3701744477749,-0.468521082957745,-0.230678869441678,1,-Inf
76.099362449789,-0.468521082957745,-0.230678869441679,1,-Inf
77.8285504518032,-0.468521082957745,-0.230678869441679,1,-Inf
79.5577384538015,-0.468521082957745,-0.230678869441679,1,-Inf
81.2869264558156,-0.468521082957745,-0.230678869441679,1,-Inf
83.0161144578139,-0.468521082957745,-0.230678869441678,1,-Inf
84.7453024598281,-0.468521082957745,-0.23067886944168,1,-Inf
86.4744904618422,-0.468521082957745,-0.230678869441678,1,-Inf
88.2036784638405,-0.468521082957745,-0.230678869441678,1,-Inf
89.9328664658546,-0.468521082957745,-0.23067886944168,1,-Inf
91.6620544678529,-0.468521082957745,-0.230678869441678,1,-Inf
93.3912424698671,-0.468521082957745,-0.230678869441679,1,-Inf
95.1204304718812,-0.468521082957745,-0.23067886944168,1,-Inf
96.8496184738795,-0.468521082957745,-0.230678869441678,1,-Inf
98.5788064758937,-0.468521082957745,-0.230678869441678,1,-Inf
100.307994477908,-0.468521082957745,-0.230678869441678,1,-Inf
102.037182479906,-0.468521082957745,-0.23067886944168,1,-Inf
103.76637048192,-0.468521082957745,-0.230678869441678,1,-Inf
105.495558483919,-0.468521082957745,-0.230678869441678,1,-Inf
107.224746485933,-0.468521082957745,-0.23067886944168,1,-Inf
108.953934487947,-0.468521082957745,-0.230678869441678,1,-Inf
110.683122489945,-0.468521082957745,-0.230678869441678,1,-Inf
112.412310491959,-0.468521082957745,-0.23067886944168,1,-Inf
114.141498493958,-0.468521082957745,-0.23067886944168,1,-Inf
115.870686495972,-0.468521082957745,-0.230678869441675,1,-Inf
117.599874497986,-0.468521082957745,-0.23067886944168,1,-Inf
119.329062499984,-0.468521082957745,-0.230678869441678,1,-Inf
121.058250501998,-0.468521082957745,-0.230678869441678,1,-Inf
122.787438504012,-0.468521082957745,-0.23067886944168,1,-Inf
124.516626506011,-0.468521082957745,-0.230678869441678,1,-Inf
126.245814508025,-0.468521082957745,-0.23067886944168,1,-Inf
127.975002510023,-0.468521082957745,-0.230678869441675,1,-Inf
129.704190512037,-0.468521082957745,-0.23067886944168,1,-Inf
131.433378514051,-0.468521082957745,-0.230678869441675,1,-Inf
133.16256651605,-0.468521082957745,-0.23067886944168,1,-Inf
134.891754518064,-0.468521082957745,-0.23067886944168,1,-Inf
136.620942520062,-0.468521082957745,-0.230678869441675,1,-Inf
138.350130522076,-0.468521082957745,-0.23067886944168,1,-Inf
140.07931852409,-0.468521082957745,-0.23067886944168,1,-Inf
141.808506526089,-0.468521082957745,-0.230678869441678,1,-Inf
143.537694528103,-0.468521082957745,-0.230678869441678,1,-Inf
145.266882530117,-0.468521082957745,-0.230678869441683,1,-Inf
146.996070532115,-0.468521082957745,-0.230678869441673,1,-Inf
148.725258534129,-0.468521082957745,-0.230678869441683,1,-Inf
150.454446536128,-0.468521082957745,-0.230678869441678,1,-Inf
152.183634538142,-0.468521082957745,-0.230678869441678,1,-Inf
153.912822540156,-0.468521082957745,-0.230678869441678,1,-Inf
155.642010542154,-0.468521082957745,-0.230678869441683,1,-Inf
157.371198544168,-0.468521082957745,-0.230678869441673,1,-Inf
159.100386546167,-0.468521082957745,-0.230678869441683,1,-Inf
160.829574548181,-0.468521082957745,-0.230678869441678,1,-Inf
162.558762550195,-0.468521082957745,-0.230678869441678,1,-Inf
164.287950552193,-0.468521082957745,-0.230678869441678,1,-Inf
166.017138554207,-0.468521082957745,-0.230678869441683,1,-Inf
167.746326556222,-Inf,-Inf,0,0.237842213516065
169.47551455822,-Inf,-Inf,0,0.538872209178051
171.204702560234,-Inf,-Inf,0,0.714963468234397
172.933890562232,-Inf,-Inf,0,0.839902204842032
174.663078564246,-Inf,-Inf,0,0.936812217850488
176.392266566261,-Inf,-Inf,0,1.01599346389838
178.121454568259,-Inf,-Inf,0,1.08294025352861
179.850642570273,-Inf,-Inf,0,1.14093220050651
181.579830572271,-Inf,-Inf,0,1.19208472295362
183.309018574286,-Inf,-Inf,0,1.23784221351447
185.0382065763,-Inf,-Inf,0,1.27923489867284
186.767394578298,-Inf,-Inf,0,1.31702345956203
188.496582580312,-Inf,-Inf,0,1.35178556582137
190.225770582326,-Inf,-Inf,0,1.38397024919288
191.954958584325,-Inf,-Inf,0,1.41393347257015
193.684146586339,-Inf,-Inf,0,1.44196219617049
195.413334588337,-Inf,-Inf,0,1.4682911348927
197.142522590351,-Inf,-Inf,0,1.49311471861782
198.871710592365,-Inf,-Inf,0,1.51659581446742
200.600898594364,-Inf,-Inf,0,1.53887220917845
202.330086596378,-Inf,-Inf,0,1.56006150824846
204.059274598376,-Inf,-Inf,0,1.58026489433664
205.78846260039,-Inf,-Inf,0,1.5995700495321
207.517650602404,-Inf,-Inf,0,1.61805345522618
209.246838604403,-Inf,-Inf,0,1.63578222218651
210.976026606417,-Inf,-Inf,0,1.65281556148535
212.705214608431,-Inf,-Inf,0,1.66920597767357
214.434402610429,-Inf,-Inf,0,1.68500024485672
216.163590612443,-Inf,-Inf,0,1.70024021141351
217.892778614442,-Inf,-Inf,0,1.71496346823413
219.621966616456,-Inf,-Inf,0,1.72920390734879
221.35115461847,-Inf,-Inf,0,1.74299219183448
223.080342620468,-Inf,-Inf,0,1.75635615339238
224.809530622482,-Inf,-Inf,0,1.7693211305568
226.538718624481,-Inf,-Inf,0,1.78191025786474
228.267906626495,-Inf,-Inf,0,1.7941447142818
229.997094628509,-Inf,-Inf,0,1.80604393758155
231.726282630507,-Inf,-Inf,0,1.8176258101313
233.455470632521,-Inf,-Inf,0,1.82890682054103
235.18465863452,-Inf,-Inf,0,1.83990220484243
236.913846636534,-Inf,-Inf,0,1.85062607023424
238.643034638548,-Inf,-Inf,0,1.86109150391245
240.372222640546,-Inf,-Inf,0,1.87131066909407
242.10141064256,-Inf,-Inf,0,1.88129489000071
243.830598644574,-Inf,-Inf,0,1.8910547272899
245.559786646573,-Inf,-Inf,0,1.90060004519608
247.288974648587,-Inf,-Inf,0,1.90994007145025
249.018162650585,-Inf,-Inf,0,1.91908345089007
250.747350652599,-Inf,-Inf,0,1.92803829354303
252.476538654614,-Inf,-Inf,0,1.93681221785057
254.205726656612,-Inf,-Inf,0,1.94541238961244
255.934914658626,-Inf,-Inf,0,1.95384555714933
257.664102660624,-Inf,-Inf,0,1.96211808311527
259.393290662638,-Inf,-Inf,0,1.97023597333748
261.122478664653,-Inf,-Inf,0,1.97820490300879
262.851666666651,-Inf,-Inf,0,1.9860302405207
264.580854668665,-Inf,-Inf,0,1.99371706918702
266.310042670679,-Inf,-Inf,0,2.00127020707749
268.039230672677,-Inf,-Inf,0,2.00869422515665
269.768418674692,-Inf,-Inf,0,2.01599346389818
271.49760667669,-Inf,-Inf,0,2.02317204852526
273.226794678704,-Inf,-Inf,0,2.03023390301277
274.955982680718,-Inf,-Inf,0,2.03718276296813
276.685170682716,-Inf,-Inf,0,2.04402218749839
278.414358684731,-Inf,-Inf,0,2.05075557015739
280.143546686729,-Inf,-Inf,0,2.05738614905636
281.872734688743,-Inf,-Inf,0,2.06391701621534
283.601922690757,-Inf,-Inf,0,2.07035112622078
285.331110692755,-Inf,-Inf,0,2.07669130425176
287.06029869477,-Inf,-Inf,0,2.08294025352878
288.789486696784,-Inf,-Inf,0,2.08910056223362
290.518674698782,-Inf,-Inf,0,2.09517470994578
292.247862700796,-Inf,-Inf,0,2.10116507363499
293.977050702794,-Inf,-Inf,0,2.10707393324548
295.706238704809,-Inf,-Inf,0,2.11290347690622
297.435426706823,-Inf,-Inf,0,2.11865580579533
299.164614708821,-Inf,-Inf,0,2.12433293868699
300.893802710835,-Inf,-Inf,0,2.12993681620501
302.622990712833,-Inf,-Inf,0,2.13546930480494
304.352178714848,-Inf,-Inf,0,2.14093220050646
306.081366716862,-Inf,-Inf,0,2.14632723239319
307.81055471886,-Inf,-Inf,0,2.15165606589823
309.539742720874,-Inf,-Inf,0,2.1569203058906
311.268930722888,-Inf,-Inf,0,2.16212149957643
312.998118724887,-Inf,-Inf,0,2.16726113922881
314.727306726901,-Inf,-Inf,0,2.1723406647581
316.456494728899,-Inf,-Inf,0,2.17736146613312
318.185682730913,-Inf,-Inf,0,2.18232488566469
319.914870732927,-Inf,-Inf,0,2.18723222015945
321.644058734926,-Inf,-Inf,0,2.19208472295384
323.37324673694,-Inf,-Inf,0,2.19688360583562
325.102434738938,-Inf,-Inf,0,2.20163004086006
326.831622740952,-Inf,-Inf,0,2.20632516206846
328.560810742966,-Inf,-Inf,0,2.21097006711424
330.289998744965,-Inf,-Inf,0,2.21556581880336
332.019186746979,-Inf,-Inf,0,2.2201134465541
333.748374748993,-Inf,-Inf,0,2.22461394778079
335.477562750991,-Inf,-Inf,0,2.22906828920701
337.206750753005,-Inf,-Inf,0,2.23347740811208
338.935938755004,-Inf,-Inf,0,2.23784221351451
340.665126757018,-Inf,-Inf,0,2.24216358729717
342.394314759032,-Inf,-Inf,0,2.24644238527646
344.12350276103,-Inf,-Inf,0,2.25067943821969
345.852690763044,-Inf,-Inf,0,2.25487555281331
347.581878765043,-Inf,-Inf,0,2.25903151258445
349.311066767057,-Inf,-Inf,0,2.26314807877929
351.040254769071,-Inf,-Inf,0,2.26722599119975
352.769442771069,-0.341379965516439,-0.103537752000369,1,-Inf
354.498630773083,-0.327902142064283,-0.0900599285482206,1,-Inf
356.227818775098,-0.327902142064283,-0.0900599285482168,1,-Inf
357.957006777096,-0.327902142064283,-0.0900599285482168,1,-Inf
359.68619477911,-0.327902142064283,-0.0900599285482168,1,-Inf
361.415382781108,-0.327902142064283,-0.0900599285482168,1,-Inf
363.144570783122,-0.327902142064283,-0.0900599285482168,1,-Inf
364.873758785137,-0.327902142064283,-0.0900599285482206,1,-Inf
366.602946787135,-0.327902142064283,-0.0900599285482168,1,-Inf
368.332134789149,-0.327902142064283,-0.0900599285482168,1,-Inf
370.061322791147,-0.327902142064283,-0.090059928548213,1,-Inf
371.790510793161,-0.327902142064283,-0.0900599285482206,1,-Inf
373.519698795176,-0.327902142064283,-0.0900599285482168,1,-Inf
375.248886797174,-0.327902142064283,-0.0900599285482206,1,-Inf
376.978074799188,-0.327902142064283,-0.0900599285482168,1,-Inf
378.707262801186,-0.327902142064283,-0.090059928548213,1,-Inf
380.4364508032,-0.327902142064283,-0.0900599285482168,1,-Inf
382.165638805215,-0.301029995663981,-0.0631877821479162,1,-Inf
383.894826807213,-0.301029995663981,-0.0631877821479198,1,-Inf
385.624014809227,-0.293931031126977,-0.0560888176109079,1,-Inf
387.353202811241,-0.292429823902064,-0.0545876103859965,1,-Inf
389.082390813239,-0.301029995663981,-0.0631877821479198,1,-Inf
390.811578815254,-0.300929434995834,-0.0630872214797676,1,-Inf
392.540766817252,-0.292429823902064,-0.0545876103859965,1,-Inf
394.269954819266,-0.296450313443252,-0.0586080999271867,1,-Inf
395.99914282128,-0.301029995663981,-0.0631877821479198,1,-Inf
397.728330823278,-0.301029995663981,-0.0631877821479091,1,-Inf
399.457518825293,-0.295356085506244,-0.0575138719901817,1,-Inf
401.186706827291,-0.301029995663981,-0.0631877821479162,1,-Inf
402.915894829305,-0.292429823902064,-0.0545876103860001,1,-Inf
404.645082831319,-0.292429823902064,-0.0545876103860001,1,-Inf
406.374270833317,-0.297347813079956,-0.059505599563882,1,-Inf
408.103458835332,-0.295021669943593,-0.0571794564275315,1,-Inf
409.832646837346,-0.292707919613202,-0.0548657060971454,1,-Inf
411.561834839344,-0.301029995663981,-0.0631877821479091,1,-Inf
413.291022841358,-0.296785831327523,-0.0589436178114605,1,-Inf
415.020210843356,-0.292429823902064,-0.0545876103860001,1,-Inf
416.749398845371,-0.300590701869569,-0.0627484883535076,1,-Inf
418.478586847385,-0.301029995663981,-0.0631877821479091,1,-Inf
420.207774849383,-0.292429823902064,-0.0545876103860001,1,-Inf
421.936962851397,-0.292429823902064,-0.0545876103860001,1,-Inf
423.666150853395,-0.292429823902064,-0.0545876103860001,1,-Inf
425.39533885541,-0.297529300543094,-0.0596870870270261,1,-Inf
427.124526857424,-0.298220299582397,-0.060378086066331,1,-Inf
428.853714859422,-0.292429823902064,-0.0545876103860001,1,-Inf
430.582902861436,-0.292429823902064,-0.0545876103859931,1,-Inf
432.31209086345,-0.301029995663981,-0.0631877821479234,1,-Inf
434.041278865449,-0.301029995663981,-0.0631877821479162,1,-Inf
435.770466867463,-0.292681388443188,-0.0548391749271148,1,-Inf
437.499654869461,-0.292429823902064,-0.0545876103860001,1,-Inf
439.228842871475,-0.301029995663981,-0.0631877821479091,1,-Inf
440.958030873489,-0.299659521570563,-0.0618173080545001,1,-Inf
442.687218875488,-0.292429823902064,-0.0545876103860001,1,-Inf
444.416406877502,-0.295708687480004,-0.057866473963937,1,-Inf
446.1455948795,-0.301029995663981,-0.0631877821479162,1,-Inf
447.874782881514,-0.293067110719369,-0.0552248972033057,1,-Inf
449.603970883528,-0.294102341546644,-0.0562601280305745,1,-Inf
451.333158885527,-0.301029995663981,-0.0631877821479091,1,-Inf
453.062346887541,-0.294669625089868,-0.0568274115738073,1,-Inf
454.791534889555,-0.292501915194099,-0.054659701678034,1,-Inf
456.520722891553,-0.298610975020875,-0.0607687615048113,1,-Inf
458.249910893567,-0.301029995663981,-0.0631877821479162,1,-Inf
459.979098895566,-0.292429823902064,-0.0545876103860001,1,-Inf
461.70828689758,-0.30023411548146,-0.0623919019653854,1,-Inf
463.437474899594,-0.292429823902064,-0.054587610386007,1,-Inf
465.166662901592,-0.301029995663981,-0.0631877821479091,1,-Inf
466.895850903606,-0.300198242282201,-0.0623560287661298,1,-Inf
468.625038905605,-0.292429823902064,-0.054587610386007,1,-Inf
470.354226907619,-0.296242526602978,-0.0584003130869091,1,-Inf
472.083414909633,-0.445762227891246,-0.20792001437518,1,-Inf
473.812602911631,-Inf,-Inf,0,0.237842213512068
475.541790913645,-Inf,-Inf,0,0.538872209178047
477.27097891566,-Inf,-Inf,0,0.7149634682344
479.000166917658,-Inf,-Inf,0,0.839902204842032
480.729354919672,-Inf,-Inf,0,0.936812217850488
482.45854292167,-Inf,-Inf,0,1.01599346389771
484.187730923684,-Inf,-Inf,0,1.08294025352861
485.916918925699,-Inf,-Inf,0,1.14093220050651
487.646106927697,-Inf,-Inf,0,1.19208472295362
489.375294929711,-Inf,-Inf,0,1.23784221351447
491.104482931709,-Inf,-Inf,0,1.27923489867248
492.833670933723,-Inf,-Inf,0,1.31702345956203
494.562858935738,-Inf,-Inf,0,1.35178556582137
496.292046937752,-Inf,-Inf,0,1.38397024919288
498.02123493975,-Inf,-Inf,0,1.41393347257015
499.750422941748,-Inf,-Inf,0,1.44196219617024
501.479610943762,-Inf,-Inf,0,1.4682911348927
503.208798945777,-Inf,-Inf,0,1.49311471861782
504.937986947791,-Inf,-Inf,0,1.51659581446742
506.667174949789,-Inf,-Inf,0,1.53887220917845
508.396362951787,-Inf,-Inf,0,1.56006150824827
510.125550953801,-Inf,-Inf,0,1.58026489433664
511.854738955816,-Inf,-Inf,0,1.5995700495321
513.58392695783,-Inf,-Inf,0,1.61805345522618
515.313114959828,-Inf,-Inf,0,1.63578222218651
517.042302961826,-Inf,-Inf,0,1.65281556148519
518.771490963841,-Inf,-Inf,0,1.66920597767343
520.500678965855,-Inf,-Inf,0,1.68500024485672
522.229866967869,-Inf,-Inf,0,1.70024021141351
523.959054969867,-Inf,-Inf,0,1.71496346823413
525.688242971865,-Inf,-Inf,0,1.72920390734866
527.41743097388,-Inf,-Inf,0,1.74299219183435
529.146618975894,-Inf,-Inf,0,1.75635615339238
530.875806977908,-Inf,-Inf,0,1.7693211305568
532.604994979906,-Inf,-Inf,0,1.78191025786475
534.33418298192,-Inf,-Inf,0,1.7941447142818
536.063370983919,-Inf,-Inf,0,1.80604393758144
537.792558985933,-Inf,-Inf,0,1.8176258101313
539.521746987947,-Inf,-Inf,0,1.82890682054103
541.250934989945,-Inf,-Inf,0,1.83990220484243
542.980122991959,-Inf,-Inf,0,1.85062607023424
544.709310993958,-Inf,-Inf,0,1.86109150391235
546.438498995972,-Inf,-Inf,0,1.87131066909407
548.167686997986,-Inf,-Inf,0,1.88129489000071
549.896875,-Inf,-Inf,0,1.8910547272899
551.626063001998,-Inf,-Inf,0,1.90060004519608
553.355251003997,-Inf,-Inf,0,1.90994007145017
555.084439006011,-Inf,-Inf,0,1.91908345089007
556.813627008025,-Inf,-Inf,0,1.92803829354303
558.542815010039,-Inf,-Inf,0,1.93681221785057
560.272003012037,-Inf,-Inf,0,1.94541238961244
562.001191014035,-Inf,-Inf,0,1.95384555714925
563.73037901605,-Inf,-Inf,0,1.96211808311527
565.459567018064,-Inf,-Inf,0,1.97023597333748
567.188755020078,-Inf,-Inf,0,1.97820490300879
568.917943022076,-Inf,-Inf,0,1.9860302405207
570.647131024075,-Inf,-Inf,0,1.99371706918695
572.376319026089,-Inf,-Inf,0,2.00127020707742
574.105507028103,-Inf,-Inf,0,2.00869422515665
575.834695030117,-Inf,-Inf,0,2.01599346389818
577.563883032115,-Inf,-Inf,0,2.02317204852526
579.293071034129,-Inf,-Inf,0,2.03023390301277
581.022259036128,-Inf,-Inf,0,2.03718276296806
582.751447038142,-Inf,-Inf,0,2.04402218749839
584.480635040156,-Inf,-Inf,0,2.05075557015739
586.209823042154,-Inf,-Inf,0,2.05738614905636
587.939011044169,-Inf,-Inf,0,2.06391701621534
